HASH(0x1d198a8)	HASH(0x1d198b4)	HASH(0x1d198f0)	HASH(0x1d1992c)	HASH(0x1d19968)
'0.000'	'0.000'	'0.000'	HASH(0x1ec881c)	'0.000'
'0.0000'	'0.0000'	'0.0000'	HASH(0x1ec8a50)	'0.0000'
'03.80.53.70.82'	'03.80.53.70.82'	'03.80.53.70.82'	HASH(0x1ec8c84)	'03.80.53.70.82'
'1'	'1'	'1'	HASH(0x1e29384)	'1'
'1 000'	'1 000'	'1 000'	HASH(0x1e295b8)	'1 000'
'1 minute'	'1 minute'	'1 minute'	HASH(0x1e297ec)	'1 minute'
'1 Stop Bit'	'1 Stop Bit'	'1 Stop Bit'	HASH(0x1e29a20)	'1 Stop Bit'
'10'	'10'	'10'	HASH(0x1e29c54)	'10'
'10 000'	'10 000'	'10 000'	HASH(0x1e29e88)	'10 000'
'10 minutes'	'10 minutes'	'10 Minuten'	HASH(0x1e2a0bc)	'10 minuti'
'100'	'100'	'100'	HASH(0x1e2a2f0)	'100'
'100 000'	'100 000'	'100 000'	HASH(0x1ed16e0)	'100 000'
'115200'	'115200'	'115200'	HASH(0x1ed1914)	'115200'
'12 minutes'	'12 minutes'	'12 Minuten'	HASH(0x1ed1b48)	'12 minuti'
'1200'	'1200'	'1200'	HASH(0x1ed1d7c)	'1200'
'15 minutes'	'15 minutes'	'15 Minuten'	HASH(0x1ed1fb0)	'15 minuti'
'150'	'150'	'150'	HASH(0x1ed21e4)	'150'
'1-9, rue d'#39'Arcueil - BP675'	'1-9, rue d'#39'Arcueil - BP675'	'1-9, rue d'#39'Arcueil - BP675'	HASH(0x1ed2418)	'1-9, rue d'#39'Arcueil - BP675'
'19200'	'19200'	'19200'	HASH(0x1ed81c8)	'19200'
'2'	'2'	'2'	HASH(0x1ed83fc)	'2'
'2 minutes'	'2 minutes'	'2 Minuten'	HASH(0x1ed8630)	'2 minuti'
'2 Stop Bit'	'2 Stop Bits'	'2 Stop Bits'	HASH(0x1ed8864)	'2 Stop Bits'
'20 minutes'	'20 minutes'	'20 Minuten'	HASH(0x1ed8a98)	'20 minuti'
'200'	'200'	'200'	HASH(0x1ed8ccc)	'200'
'2400'	'2400'	'2400'	HASH(0x1ed8f00)	'2400'
'250'	'250'	'250'	HASH(0x1edbc28)	'250'
'3 I'	'3 I'	'3 I'	HASH(0x1edbe5c)	'3 I'
'3 I + 3 U'	'3 I + 3 U'	'3 I + 3 U'	HASH(0x1edc090)	'3 I + 3 U'
'3 I + 3 V'	'3 I + 3 V'	'3 I + 3 V'	HASH(0x1edc2c4)	'3 I + 3 V'
'3 minutes'	'3 minutes'	'3 Minuten'	HASH(0x1edc4f8)	'3 minuti'
'3 U'	'3 U'	'3 U'	HASH(0x1edc72c)	'3 U'
'3 U + 3 I'	'3 U + 3 I'	'3 U + 3 I'	HASH(0x1edc960)	'3 U + 3 I'
'3 V'	'3 V'	'3 V'	HASH(0x1edf6a8)	'3 V'
'3 V + 3 I'	'3 V + 3 I'	'3 V + 3 I'	HASH(0x1edf8dc)	'3 V + 3 I'
'30 minutes'	'30 minutes'	'30 Minuten'	HASH(0x1edfb10)	'30 minuti'
'300'	'300'	'300'	HASH(0x1edfd44)	'300'
'350'	'350'	'350'	HASH(0x1edff78)	'350'
'38400'	'38400'	'38400'	HASH(0x1ee01ac)	'38400'
'4 minutes'	'4 minutes'	'4 Minuten'	HASH(0x1ee03e0)	'4 minuti'
'400'	'400'	'400'	HASH(0x1ee0614)	'400'
'450'	'450'	'450'	HASH(0x1ee43e4)	'450'
'4800'	'4800'	'4800'	HASH(0x1ee4618)	'4800'
'5 minutes'	'5 minutes'	'5 Minuten'	HASH(0x1ee484c)	'5 minuti'
'50'	'50'	'50'	HASH(0x1ee4a80)	'50'
'500'	'500'	'500'	HASH(0x1ee4cb4)	'500'
'57600'	'57600'	'57600'	HASH(0x1ee4ee8)	'57600'
'6 minutes'	'6 minutes'	'6 Minuten'	HASH(0x1ee511c)	'6 minuti'
'60 minutes'	'60 minutes'	'60 Minuten'	HASH(0x1ee7ebc)	'60 minuti'
'92542 Montrouge Cedex'	'92542 Montrouge Cedex'	'92542 Montrouge Cedex'	HASH(0x1ee80f0)	'92542 Montrouge Cedex'
'9600'	'9600'	'9600'	HASH(0x1ee8324)	'9600'
'à'	'to'	'bis'	HASH(0x1ee8558)	'a'
'A Propos'	'About'	'Info'	HASH(0x1ee878c)	'A proposito'
'Activation'	'Activation'	'Aktivierung'	HASH(0x1ee89c0)	'Attivazione'
'Activation du produit'	'Product activation'	'Produktaktivierung'	HASH(0x1ee8bf4)	'Attivazione prodotto'
'Adresse'	'Address'	'Adresse'	HASH(0x1eed964)	'Address'
'Adresse esclave'	'Slave address'	'Slave Adresse'	HASH(0x1eedb98)	'Indizzo Slave'
'Adresse IP'	'IP address'	'IP Adresse'	HASH(0x1eeddcc)	'Indirizzo IP'
'Adresse JBus'	'JBus address'	'JBus Adresse'	HASH(0x1eee000)	'Indirizzo JBus'
'Adresse Jbus (HEX)'	'Jbus Address (HEX)'	'Jbus (HEX) Adresse'	HASH(0x1eee234)	'Indirizzo JBus (HEX)'
'Adresse TCP-IP de la passerelle '	'TCP-IP gateway address '	'TCP-IP Gateway Adresse'	HASH(0x1eee468)	'Indirizzo TCP-IP gateway'
'adresses esclaves'	'Slave addresses'	'Slave-Adresse'	HASH(0x1eee69c)	'Indirizzo slave'
'AL E1'	'AL E1'	'AL E1'	HASH(0x1ef248c)	'AL E1'
'AL E10'	'AL E10'	'AL E10'	HASH(0x1ef26c0)	'AL E10'
'AL E11'	'AL E11'	'AL E11'	HASH(0x1ef28f4)	'AL E11'
'AL E12'	'AL E12'	'AL E12'	HASH(0x1ef2b28)	'AL E12'
'AL E13'	'AL E13'	'AL E13'	HASH(0x1ef2d5c)	'AL E13'
'AL E14'	'AL E14'	'AL E14'	HASH(0x1ef2f90)	'AL E14'
'AL E15'	'AL E15'	'AL E15'	HASH(0x1ef31c4)	'AL E15'
'AL E16'	'AL E16'	'AL E16'	HASH(0x1ef5f64)	'AL E16'
'AL E2'	'AL E2'	'AL E2'	HASH(0x1ef6198)	'AL E2'
'AL E3'	'AL E3'	'AL E3'	HASH(0x1ef63cc)	'AL E3'
'AL E4'	'AL E4'	'AL E4'	HASH(0x1ef6600)	'AL E4'
'AL E5'	'AL E5'	'AL E5'	HASH(0x1ef6834)	'AL E5'
'AL E6'	'AL E6'	'AL E6'	HASH(0x1ef6a68)	'AL E6'
'AL E7'	'AL E7'	'AL E7'	HASH(0x1ef6c9c)	'AL E7'
'AL E8'	'AL E8'	'AL E8'	HASH(0x1ef6ed0)	'AL E8'
'AL E9'	'AL E9'	'AL E9'	HASH(0x1efac60)	'AL E9'
'Alarme élémentaire 1'	'First level alarm 1'	'Grundalarm Stufe 1'	HASH(0x1efae94)	'Primo livello di allarme 1'
'Alarme élémentaire 10'	'First level alarm 10'	'Grundalarm Stufe 10'	HASH(0x1efb0c8)	'Primo livello di allarme 10'
'Alarme élémentaire 11'	'First level alarm 11'	'Grundalarm Stufe 11'	HASH(0x1efb2fc)	'Primo livello di allarme 11'
'Alarme élémentaire 12'	'First level alarm 12'	'Grundalarm Stufe 12'	HASH(0x1efb530)	'Primo livello di allarme 12'
'Alarme élémentaire 13'	'First level alarm 13'	'Grundalarm Stufe 13'	HASH(0x1efb764)	'Primo livello di allarme 13'
'Alarme élémentaire 14'	'First level alarm 14'	'Grundalarm Stufe 14'	HASH(0x1efb998)	'Primo livello di allarme 14'
'Alarme élémentaire 15'	'First level alarm 15'	'Grundalarm Stufe 15'	HASH(0x1eff898)	'Primo livello di allarme 15'
'Alarme élémentaire 16'	'First level alarm 16'	'Grundalarm Stufe 16'	HASH(0x1effacc)	'Primo livello di allarme 16'
'Alarme élémentaire 2'	'First level alarm 2'	'Grundalarm Stufe 2'	HASH(0x1effd00)	'Primo livello di allarme 2'
'Alarme élémentaire 3'	'First level alarm 3'	'Grundalarm Stufe 3'	HASH(0x1efff34)	'Primo livello di allarme 3'
'Alarme élémentaire 4'	'First level alarm 4'	'Grundalarm Stufe 4'	HASH(0x1f00168)	'Primo livello di allarme 4'
'Alarme élémentaire 5'	'First level alarm 5'	'Grundalarm Stufe 5'	HASH(0x1f0039c)	'Primo livello di allarme 5'
'Alarme élémentaire 6'	'First level alarm 6'	'Grundalarm Stufe 6'	HASH(0x1f005d0)	'Primo livello di allarme 6'
'Alarme élémentaire 7'	'First level alarm 7'	'Grundalarm Stufe 7'	HASH(0x1f044f8)	'Primo livello di allarme 7'
'Alarme élémentaire 8'	'First level alarm 8'	'Grundalarm Stufe 8'	HASH(0x1f0472c)	'Primo livello di allarme 8'
'Alarme élémentaire 9'	'First level alarm 9'	'Grundalarm Stufe 9'	HASH(0x1f04960)	'Primo livello di allarme 9'
'Alarme globale 1'	'Global alarm 1'	'allgemeiner Alarm 1'	HASH(0x1f04b94)	'Allarme globale 1'
'Alarme globale 2'	'Global alarm 2'	'allgemeiner Alarm 2'	HASH(0x1f04dc8)	'Allarme globale 2'
'Alarme globale 3'	'Global alarm 3'	'allgemeiner Alarm 3'	HASH(0x1f04ffc)	'Allarme globale 3'
'Alarme globale 4'	'Global alarm 4'	'allgemeiner Alarm 4'	HASH(0x1f05230)	'Allarme globale 4'
'Alarme globale 5'	'Global alarm 5'	'allgemeiner Alarm 5'	HASH(0x1f08028)	'Allarme globale 5'
'Alarme globale 6'	'Global alarm 6'	'allgemeiner Alarm 6'	HASH(0x1f0825c)	'Allarme globale 6'
'Alarme globale 7'	'Global alarm 7'	'allgemeiner Alarm 7'	HASH(0x1f08490)	'Allarme globale 7'
'Alarme globale 8'	'Global alarm 8'	'allgemeiner Alarm 8'	HASH(0x1f086c4)	'Allarme globale 8'
'Alarmes'	'First level alarms'	'Alarme'	HASH(0x1f088f8)	'Primo livello di allarme'
'Alarmes élémentaires'	'First level alarms'	'Niveau 1 Alarme '	HASH(0x1f08b2c)	'Primo livello di allarme'
'Alarmes globales'	'Global alarms'	'allgemeine Alarme '	HASH(0x1f08d60)	'Allarme globale'
'Alarmes Globales'	'Global alarms'	'allgemeine Alarme '	HASH(0x1f0cba0)	'Allarme globale'
'Annuler'	'Cancel'	'abbrechen'	HASH(0x1f0cdd4)	'Annulla'
'Appareil trouvé'	'Equipment found'	'Apparat nicht gefunden'	HASH(0x1f0d008)	HASH(0x1f0d068)
'Appareil virtuel|Crée un appareil virtuel'	'Virtual equipment|Create virtual equipment'	'Virtueller Apparat (anlegen)'	HASH(0x1f0d218)	'Apparecchio virtuale|Crea apparecchio virtuale'
'Arrêt de l'#39'enregistrement'	'Recording stop'	'Stop Aufnahme'	HASH(0x1f0d44c)	'Ferma registrazione'
'Arreter'	'Stop'	'anhalten'	HASH(0x1f0d680)	'Stop'
'Assignation des entrées TOR à la courbe de charge'	'BIN input assignment to counters'	'BIN Eingabe zu Zähler'	HASH(0x1f0d8b4)	HASH(0x1f0d914)
'Assignation des entrées TOR aux compteurs'	'BIN input assignment to counters'	'BIN Eingabe zu Zähler'	HASH(0x1f0dac4)	'Ingresso BIN assegnato ai contatori'
'Aucune'	'None'	'Keine'	HASH(0x1f1195c)	'Nessuno'
'Automatique'	'Automatic'	'Automatisch'	HASH(0x1f11b90)	HASH(0x1f11bf0)
'Bits de stop COM RS485'	'RS485 COM stop bit'	'RS485 COM stop bit'	HASH(0x1f11da0)	'Bit di stop COM RS485'
'Canal actif'	'Active channel'	'Aktiver Kanal'	HASH(0x1f11fd4)	'Canale attivo'
'Canal de communication'	'Communication channel'	'Kanal Kommunikation'	HASH(0x1f12208)	'Canale comunicazione'
'Capacitif'	'Capacitive'	HASH(0x1f123dc)	HASH(0x1f1243c)	HASH(0x1f1249c)
'Carte de communication'	'Communication board'	'Schnittstelle Kommunikation'	HASH(0x1f12628)	'Scheda di comunicazione'
'Carte IHM'	'MMI board'	'Schnittstelle MMI'	HASH(0x1f153c8)	'Scheda MMI'
'Carte Mère'	'Main board'	'Mainboard'	HASH(0x1f155fc)	'Scheda madre'
'Cartes Options'	'Options boards'	'Schnittstelle Optionen'	HASH(0x1f15830)	'Schede Opzionali'
'Cc-TOR1'	'Lc-BIN1'	'Lc-BIN1'	HASH(0x1f15a64)	'Lc-BIN1'
'Cc-TOR2'	'Lc-BIN2'	'Lc-BIN2'	HASH(0x1f15c98)	'Lc-BIN2'
'Cc-TOR3'	'Lc-BIN3'	'Lc-BIN3'	HASH(0x1f15ecc)	'Lc-BIN3'
'Cc-TOR4'	'Lc-BIN4'	'Lc-BIN4'	HASH(0x1f16100)	'Lc-BIN4'
'Ce 1'	'Tr 1'	'Tr 1'	HASH(0x1f19e88)	'Tr 1'
'Ce 2'	'Tr 2'	'Tr 2'	HASH(0x1f1a0bc)	'Tr 2'
'Ce 3'	'Tr 3'	'Tr 3'	HASH(0x1f1a2f0)	'Tr 3'
'Ce 4'	'Tr 4'	'Tr 4'	HASH(0x1f1a524)	'Tr 4'
'Choix des grandeurs'	'Choice of parameters'	HASH(0x1f1a6f8)	HASH(0x1f1a758)	HASH(0x1f1a7b8)
'Choix des grandeurs à enregistrer'	'Choice of the parameters to record'	'Auswahl der aufzuzeichnenden Parameter'	HASH(0x1f1a944)	'Scelta dei parametri da registrare'
'Clef d'#39'activation'	'Activation key'	'Aktivierungsschlüssel'	HASH(0x1f1ab78)	'Chiave di attivazione'
'clef d'#39'activation du produit.'	'product activation key.'	'Aktivierungsschlüssel'	HASH(0x1f1adac)	'Chiave di attivazione prodotto'
'Communication'	'Communication'	'Kommunikation'	HASH(0x1f1ec04)	'Comunicazione'
'Compteurs'	'Counters'	'Zähler'	HASH(0x1f1ee38)	'Contatori'
'Compteurs horaires'	'Hours meters'	'Stundenzähler'	HASH(0x1f1f06c)	'Conta-ora'
'Configuration'	'Configuration'	'Einstellungen'	HASH(0x1f1f2a0)	'Configurazione'
'Configuration de la communication'	'Communication setting'	'Einstellungen Kommunikation'	HASH(0x1f1f4d4)	'Configurazione della comunicazione'
'Configuration de la communication Ethernet'	'Ethernet communication setting'	HASH(0x1f1f6a8)	HASH(0x1f1f708)	HASH(0x1f1f768)
'Configuration de la communication JBus'	'JBus communication setting'	'Einstellungen JBus Kommunikation'	HASH(0x1f1f8f4)	'Configurazione comunicazione JBus '
'Connecter'	'Connect'	'Verbinden'	HASH(0x1f2469c)	'Connesso'
'Connecter|Ouvre le canal de communication avec l'#39'appareil'	'Connect|Open communication channel with equipment'	'Verbinden und Kommunikation starten'	HASH(0x1f248d0)	'Connessione|Aperta comunicazione con strumento'
'Contact'	'Contact'	'Verbindung überprüfen'	HASH(0x1f24b04)	'Contatto'
'Contraste'	'Contrast'	'Kontrast'	HASH(0x1f24d38)	'Contrasto'
'Contrôle de l'#39'affichage'	'Display control'	'Bildschirm'	HASH(0x1f24f6c)	'Controllo display'
'cos Phi 1='	'cos Phi 1='	'cos Phi 1='	HASH(0x1f251a0)	'cos Phi 1='
'cos Phi 2 ='	'cos Phi 2 ='	'cos Phi 2='	HASH(0x1f253d4)	'cos Phi 2='
'cos Phi 3 ='	'cos Phi 3 ='	'cos Phi 3='	HASH(0x1f281bc)	'cos Phi 3='
'cos Phi T.='	'cos Phi T.='	'cos Phi T.='	HASH(0x1f283f0)	'cos Phi T.='
'Couleur'	'Color'	HASH(0x1f285c4)	HASH(0x1f28624)	HASH(0x1f28684)
'Couleur(s) de fond'	'Background colour'	HASH(0x1f287b0)	HASH(0x1f28810)	HASH(0x1f28870)
'Courant'	'Current'	'Strom'	HASH(0x1f289fc)	'Corrente'
'Courant moy max'	'Current max aver'	'Strom Max Avg'	HASH(0x1f28c30)	'Corrente massima'
'Courbe de charge'	'Load curve'	'Lastkurve'	HASH(0x1f28e64)	'Curva di carico'
'Courbes d'#39'enregistrements'	'Trend curves'	'Trendkurve'	HASH(0x1f29098)	'Andamento curve'
'Date'	'Date'	'Datum'	HASH(0x1f2bdc8)	HASH(0x1f2be28)
'Date / Heure'	'Date / Time'	'Datum / Zeit'	HASH(0x1f2bfd8)	'Data / Ora'
'Date de création'	'Creation date'	'Erstellt am'	HASH(0x1f2c20c)	'Data di creazione'
'Date de début'	'Start date'	'Start'	HASH(0x1f2c440)	'Data d'#39'inizio'
'Date de fin'	'End date'	'Ende'	HASH(0x1f2c674)	'Data di fine'
'Date début de purge'	'Start date of purge'	HASH(0x1f2c848)	HASH(0x1f2c8a8)	HASH(0x1f2c908)
'Date du dernier accès au produit'	'Last equipment access date'	'letzter Zugriff'	HASH(0x1f2ca94)	'Ultimo accesso all'#39'apparecchio'
'Date et heure'	'Date and time'	'Datum und Zeit'	HASH(0x1f307ac)	'Data e ora'
'Date fin de purge'	'End date of purge'	HASH(0x1f30980)	HASH(0x1f309e0)	HASH(0x1f30a40)
'de'	'From'	'Von'	HASH(0x1f30bcc)	'Da'
'Débordement'	'Overflow'	'Datenüberfluss'	HASH(0x1f30e00)	'Overflow'
'Début'	'Beginning'	"Start"	HASH(0x1f31034)	HASH(0x1f31094)
'Deconnecter'	'Disconnect'	'Getrennt'	HASH(0x1f31244)	'Disconnesso'
'Déconnecter|Ferme le canal de communication avec l'#39'appareil'	'Disconnect|close the communication channel with equipment'	'Trennen|Kommunikation beenden'	HASH(0x1f31478)	'Disconnesso|Il canale di comunicazione è stato chiuso'
'Défilement automatique'	'Automatic scrolling'	'Automatisch scrollen'	HASH(0x1f316ac)	'Scorrimento automatico'
'Défilement des écrans'	'Screen scrolling'	'Bildschirm scrollen'	HASH(0x1f35474)	'Scorrimento schermo'
'Dépassement'	'Overflow'	'Datenüberfluss'	HASH(0x1f356a8)	'Overflow'
'Dépassement autorisé de 10% sur la sortie'	'10 % output overload allowed'	'10 % Ausgang Überlast zulässig'	HASH(0x1f358dc)	'Sovraccarico del 10% dell'#39'uscita ammessa'
'Dernière erreur enregistrée'	'Last error recorded'	'Letzter Fehler aufgezeichnet'	HASH(0x1f35b10)	'Ultimo errore registrato'
'Descendre'	'Down'	'Runter'	HASH(0x1f35d44)	'Sotto'
'Description de l'#39'appareil'	'Equipment description'	'Bezeichnung'	HASH(0x1f35f78)	'Descrizione equipaggiamento'
'Description du dossier'	'Folder description'	'Ordner Bezeichnung'	HASH(0x1f361ac)	'Descrizione cartella'
'Deutsch'	'Deutsch'	'Deutsch'	HASH(0x1f3a054)	'Tedesco'
'Double Word (32bits)'	'Double Word (32bits)'	'Double Word (32bits)'	HASH(0x1f3a288)	'Double Word (32bits)'
'Ecran 1'	'Screen 1'	'Bildschirm1'	HASH(0x1f3a4bc)	'Schermo 1'
'Ecran 2'	'Screen 2'	'Bildschirm2'	HASH(0x1f3a6f0)	'Schermo 2'
'Ecran 3'	'Screen 3'	'Bildschirm3'	HASH(0x1f3a924)	'Schermo 3'
'Écran à afficher'	'Screen to be displayed'	'Bildschirm anzeigen'	HASH(0x1f3ab58)	'Schermata da mostrare'
'Écran actuel'	'Active screen'	'Aktiver Bildschirm'	HASH(0x1f3ad8c)	'Schermo attivo'
'Ecrans utilisateur'	'User screens'	'Benutzerbildschirme'	HASH(0x1f3db6c)	'Schermo utente'
'Ecrans utilisateur 1'	'User screen 1'	'Benutzerschirm 1'	HASH(0x1f3dda0)	'Schermo utente 1'
'Ecrans utilisateur 2'	'User screen 2'	'Benutzerschirm 2'	HASH(0x1f3dfd4)	'Schermo utente 2'
'Ecrans utilisateur 3'	'User screen 3'	'Benutzerschirm 3'	HASH(0x1f3e208)	'Schermo utente 3'
'Effacer la courbe de charge'	'Delete load curve'	'Lösche Lastkurve'	HASH(0x1f3e43c)	HASH(0x1f3e49c)
'ENERDIS'	'ENERDIS'	'ENERDIS'	HASH(0x1f3e64c)	'ENERDIS'
'Energie Active'	'Active Energy'	'Aktive Energie'	HASH(0x1f3e880)	'Energia Attiva'
'Energie active EP-'	'Active Energy EP-'	'Aktive Energie -EP'	HASH(0x1f415a0)	'Energia Attiva EP-'
'Energie active EP+'	'Active Energy EP+'	'Aktive Energie +EP'	HASH(0x1f417d4)	'Energia Attiva EP+'
'Energie active totale'	'Active Energy total'	'Aktive Energie Total'	HASH(0x1f41a08)	'Energia attiva totale'
'Energie Apparente'	'Apparent Energy'	'Offensichtliche Energie'	HASH(0x1f41c3c)	'Energia Apparente'
'Energie apparente ES-'	'Apparent power ES-'	'Offensichtliche Energie ES-'	HASH(0x1f41e70)	'Potenza apparente ES-'
'Energie apparente ES+'	'Apparent Energy ES+'	'Offensichtliche Energie ES+'	HASH(0x1f420a4)	'Energia apparente ES+'
'Energie apparente totale'	'Apparent Energy total'	'Offensichtliche Energie Total'	HASH(0x1f422d8)	'Energia apparente totale'
'Energie associée'	'Associated energy'	'Wirkleistung'	HASH(0x1f46238)	'Energia associata'
'Energie Réactive'	'Reactive Energy'	'Blindleistung'	HASH(0x1f4646c)	'Energia reattiva'
'Energie réactive EQ1'	'Reactive Energy EQ1'	'Blindleistung EQ1'	HASH(0x1f466a0)	'Energia reattiva EQ1'
'Energie réactive EQ2'	'Reactive Energy EQ2'	'Blindleistung EQ2'	HASH(0x1f468d4)	'Energia reattiva EQ2'
'Energie réactive EQ3'	'Reactive Energy EQ3'	'Blindleistung EQ3'	HASH(0x1f46b08)	'Energia reattiva EQ3'
'Energie réactive EQ4'	'Reactive Energy EQ4'	'Blindleistung EQ4'	HASH(0x1f46d3c)	'Energia reattiva EQ4'
'Energie réactive totale'	'Reactive Energy total'	'Blindleistung Total'	HASH(0x1f46f70)	'Energia reattiva totale'
'English'	'English'	'English'	HASH(0x1f471a4)	'English'
'Enregistrer'	'Save'	'Speichern'	HASH(0x1f4d03c)	'Salva'
'Enregistrer dans un fichier|Enregistre la page dans un fichier'	'Save in file|Save page in file'	'Speichern in Datei|Seite speichern'	HASH(0x1f4d270)	'Salva su file|Salva la pagina in un file'
'Enregistrer dans un fichier|Enregistre le contenu et l'#39'état dans un fichier'	'Sans in a file|Save the content and the status in a file'	'Speichern in Datei|Inhalt und Status speichern'	HASH(0x1f4d4a4)	'Salva in un file|Salva il contenuto e lo stato su un file'
'Enregistrer DB'	'Database record'	HASH(0x1f4d678)	HASH(0x1f4d6d8)	HASH(0x1f4d738)
'Enregistrer sous ...'	'Save As ...'	'Speichern unter ...'	HASH(0x1f4d8c4)	'Salva come...'
'Enregistrer|Enregistre la configuration'	'Save|Save configuration'	HASH(0x1f4da98)	HASH(0x1f4daf8)	HASH(0x1f4db58)
'Enregistrer|Enregistre la page'	'Save|Save page'	'Speichern|Seite speichern'	HASH(0x1f4dce4)	'Salva|Salva pagina'
'Enregistrer|Enregistre les modifications'	'Save|Save changes'	'Speichern|Einstellungen speichern'	HASH(0x1f50b3c)	'Salva|Salva cambiamento'
'Entrée TOR'	'Binary input'	'Binäre Eingabe'	HASH(0x1f50d70)	'Ingresso digitale'
'Entrée TOR A1'	'Input TOR A1'	'Eingang TOR A1'	HASH(0x1f50fa4)	'Ingresso BIN A1'
'Entrée TOR A2'	'Input TOR A2'	'Eingang TOR A2'	HASH(0x1f511d8)	'Ingresso BIN A2'
'Entrée TOR B1'	'Input TOR B1'	'Eingang TOR B1'	HASH(0x1f5140c)	'Ingresso BIN B1'
'Entrée TOR B2'	'Input TOR B2'	'Eingang TOR B2'	HASH(0x1f51640)	'Ingresso BIN B2'
'Entrée TOR C1'	'Input TOR C1'	'Eingang TOR C1'	HASH(0x1f51874)	'Ingresso BIN C1'
'Entrée TOR C2'	'Input TOR C2'	'Eingang TOR C2'	HASH(0x1f5461c)	'Ingresso BIN C2'
'Entrée TOR D1'	'Input TOR D1'	'Eingang TOR D1'	HASH(0x1f54850)	'Ingresso BIN D1'
'Entrée TOR D2'	'InputTOR D2'	'Eingang TOR D2'	HASH(0x1f54a84)	'Ingresso BIN D2'
'Entrées impulsions'	'Pulse inputs'	'Impuls Eingänge'	HASH(0x1f54cb8)	'Ingressi impulsi'
'Entrées TOR'	'BIN inputs'	'Binäre Eingänge'	HASH(0x1f54eec)	'Ingresso BIN'
'Envoyer'	'Send'	'Senden'	HASH(0x1f55120)	'Invia'
'Envoyer tout'	'Send all'	'Alles senden'	HASH(0x1f55354)	'Invia tutto'
'Envoyer tout|Envoie tout vers l'#39'appareil'	'Send all|Send all to equipment'	'Alles senden|an Einheit übertragen'	HASH(0x1f55588)	'Invia tutto|Invia tutto allo strumento'
'Envoyer|Envoie la page'	'Send|Send page'	'Senden|Seite senden'	HASH(0x1f58370)	'Invia|Invia pagina'
'EQ1'	'EQ1'	'EQ1'	HASH(0x1f585a4)	'EQ1'
'EQ2'	'EQ2'	'EQ2'	HASH(0x1f587d8)	'EQ2'
'EQ3'	'EQ3'	'EQ3'	HASH(0x1f58a0c)	'EQ3'
'EQ4'	'EQ4'	'EQ4'	HASH(0x1f58c40)	'EQ4'
'Español'	'Español'	'Español'	HASH(0x1f58e74)	'Español'
'ET'	'AND'	'UND'	HASH(0x1f590a8)	'AND'
'Etat'	'Status'	'Status'	HASH(0x1f5ee68)	'Stato'
'Etat de la courbe'	'Curve status'	'Kurvenstatus'	HASH(0x1f5f09c)	'Stato curve'
'Etendue de mesure'	'Measurement range'	'Messbereich'	HASH(0x1f5f2d0)	'Campo di misura'
'Etendue de sortie'	'Output range'	'Ausgangsbereich'	HASH(0x1f5f504)	'Campo di uscita'
'Etendue de sortie (mA)'	'Output rang (mA)'	'Ausgangsbereich (mA)'	HASH(0x1f5f738)	'Campo di uscita (mA)'
'Ethernet'	'Ethernet'	'Ethernet'	HASH(0x1f5f96c)	'Ethernet'
'Export'	'Export'	'Export'	HASH(0x1f5fba0)	'Esporta'
'Exporter ...'	'Explore ...'	'Exportieren'	HASH(0x1f62948)	'Esplora...'
'Exporter|Enregistre dans un fichier texte'	'Explore|Save in a text file'	'Exportieren|speichern als text Datei'	HASH(0x1f62b7c)	'Esplora|Salva in un file di testo'
'Exporter|Enregistre la page dans un fichier texte'	'Export|Save page in a text file'	'Exportieren|Seite speichern als Datei'	HASH(0x1f62db0)	'Esporta|Salva pagina in un file di testo'
'Extrêma instantanées'	'Instant extremes'	'Instant extremes'	HASH(0x1f62fe4)	'Estremi istantanei'
'Extrêmas instantanées'	'Instant extremes'	'Instant extremes'	HASH(0x1f63218)	'Estremi istantanei'
'F0 = 50 Hz'	'F0 = 50 Hz'	'F0 = 50 Hz'	HASH(0x1f6344c)	'F0 = 50 Hz'
'Fax : +33 1 42 53 64 78'	'Fax : +33 1 42 53 64 78'	'Fax : +33 1 42 53 64 78'	HASH(0x1f63680)	'Fax : +33 1 42 53 64 78'
'Fermé'	'Closed'	'Geschlossen'	HASH(0x1f66510)	'Chiuso'
'Fermer'	'Close'	'Schliessen'	HASH(0x1f66744)	'Chiusura'
'Fichier'	'File'	'Datei'	HASH(0x1f66978)	'File'
'fichier de paramètre (*.xml)|*.xml|tous|*.*'	'setting file (*.xml)|*.xml|all|*.*'	'Konfigurationsdatei (*.xml)|*.xml|all|*.*'	HASH(0x1f66bac)	'configurazione file (*.xml)|*.xml|all|*.*'
'Fin'	'End'	'Ende'	HASH(0x1f66de0)	HASH(0x1f66e40)
'Fonction logique'	'Boolean function'	'Boolean Funktion'	HASH(0x1f66ff0)	'Funzione booleana'
'Forcer la sortie'	'Set output'	'Ausgang wählen'	HASH(0x1f67224)	'Configura l'#39'uscita'
'Français'	'English'	'Deutsch'	HASH(0x1f67458)	'Italiano'
'France'	'France'	'France'	HASH(0x1f6a228)	'France'
'Fréquence réseau'	'Network frequency'	'Netzwerk Frequenz'	HASH(0x1f6a45c)	'Frequenza di rete'
'Fresnel'	'Phasors'	HASH(0x1f6a630)	HASH(0x1f6a690)	HASH(0x1f6a6f0)
'Général'	'General'	'Allgemein'	HASH(0x1f6a87c)	'Generale'
'Générateur'	'Generator'	'Abgabe'	HASH(0x1f6aab0)	'Generatore'
